from,to
15545,111943
15545,109804
15545,144580
15545,108328
15545,124893
15545,108243
15545,236
15545,12
15545,108183
15545,4131
15545,108403
15545,109248
15545,108451
15545,138311
15545,108279
15545,109279
15545,108498
15545,108344
15545,15737
15545,7469
15545,3100
15545,22082
15545,15022
115584,177883
115584,178853
115584,73768
115584,156086
115584,4131
115584,154581
115584,154437
115584,141856
115584,121032
115584,109753
115584,88837
115584,2759
115584,7846
115584,53995
115584,66403
115584,96854
37861,268911
69067,61172
77801,61172
22257,106287
22257,22816
22257,7593
22257,108172
22257,101739
22257,1777
22257,90847
22257,18616
22257,55238
22257,10687
22257,116127
22257,6848
22257,2410
22257,30613
22257,178462
22257,9635
22257,6955
22257,7327
22257,3100
22257,53970
22257,118981
22257,190277
22257,48785
22257,12
52696,46876
52696,17984
52696,19129
52696,195181
52696,182134
52696,75806
52696,137069
52696,1636
52696,237042
52696,228957
52696,96095
52696,137401
52696,152654
52696,218777
52696,161098
52696,52461
52696,209000
52696,188008
52696,196564
52696,197132
52696,167019
52696,195985
52696,178853
52696,188222
52696,178691
52696,152715
52696,158753
52696,189621
52696,136504
52696,154016
52696,177883
52696,137336
52696,152714
52696,170717
52696,81116
52696,105884
52696,77318
52696,176588
52696,174791
52696,152635
82666,61172
84875,61172
160636,2410
160636,53995
160636,7846
160636,151663
37415,2358
52202,102702
52202,33904
10959,12
32191,47771
32191,47816
32191,47884
32191,47836
32191,47716
32191,47671
85553,61172
42952,64514
42952,80973
42952,76864
42952,77318
42952,46876
42952,57085
42952,56461
42952,1361
42952,62240
42952,557
42952,57780
42952,17984
42952,4020
42952,7190
42952,9977
42952,32036
42952,14729
6579,78480
1139,4020
1139,18436
1139,17984
1139,23054
1139,278
1139,996
1139,281
1139,1078
1139,888
20537,214477
20537,118981
20537,190277
20537,998
20537,119180
20537,9635
20537,3100
88120,61172
34202,52437
34202,96971
34202,281
34202,4882
34202,25809
34202,25880
34202,25911
34202,4471
50651,1645
40372,149328
40372,72239
40372,17701
40372,27648
100641,97598
100641,72141
63302,4672
63302,63105
63302,46876
63302,62920
63302,59194
63302,12
63302,287
23361,807
23361,10142
23361,24282
23361,6594
83398,61172
36817,54878
121202,196434
121202,218777
121202,75806
121202,111032
121202,161098
121202,137401
121202,163784
121202,162787
121202,188008
121202,203691
121202,188222
121202,137345
121202,178853
121202,178691
121202,140389
121202,167871
121202,22843
121202,154831
121202,54380
121202,4131
121202,483
121202,152474
121202,137367
121202,154357
121202,88837
121202,190526
121202,195181
121202,158753
121202,189621
121202,152714
121202,152702
121202,100701
121202,177883
121202,152671
121202,81116
121202,53995
121202,7846
121202,106317
121202,101998
121202,152715
153269,22506
153269,100192
58716,228957
58716,137401
58716,218777
58716,65512
58716,209000
58716,152654
58716,188008
58716,42192
58716,167019
58716,179578
58716,195985
58716,195181
58716,178853
58716,137069
58716,177883
58716,81116
58716,163784
58716,64078
58716,140398
58716,137345
58716,167323
58716,162368
58716,138607
58716,161890
58716,154437
58716,154581
58716,152635
58716,155881
58716,141856
58716,154890
58716,154831
58716,152191
58716,137329
58716,136634
58716,149539
58716,142800
58716,148279
58716,52437
58716,109753
58716,93272
80420,61172
64550,71854
64550,72304
64550,56438
64550,12
64550,6007
107547,12
150575,96971
150575,154890
150575,66403
150575,46876
150575,56262
150575,287
150575,6955
150575,12
66969,61898
61095,321242
61095,324679
61095,389246
61095,324556
61095,33903
61095,40436
61095,156553
61095,29806
61095,336967
61095,311902
61095,303705
61095,220161
61095,343196
61095,6260
61095,36439
61095,37080
61095,293355
61095,304701
61095,339890
61095,176493
61095,17562
150387,177883
150387,42192
150387,171961
150387,100701
150387,53995
150387,7846
150387,2410
150387,23985
150387,24600
95019,46876
95019,108481
95019,56880
95019,28204
95019,86713
95019,62240
95019,17984
95019,91983
95019,79001
95019,64514
95019,53995
95019,7846
95019,77169
95019,155
95019,32888
95019,1386
95019,32820
95019,26415
4604,52917
4604,57780
4604,873
149308,24117
20118,4142
75810,37953
75810,95857
75810,9959
75810,95121
75810,12
75810,3466
31182,43699
31182,32324
31182,31939
31182,25025
45918,33821
81056,61172
86274,61172
342,41
342,4300
342,24738
342,100
342,1054
105007,26405
105007,86900
105007,77328
105007,12726
105007,13163
105007,7496
123836,139741
123836,139126
123836,112287
123836,116021
123836,115652
123836,115577
123836,124989
123836,7846
123836,123574
123836,114963
123836,112876
123836,9581
84609,61172
54719,56180
54719,40630
54719,33733
54719,55657
1773,2955
1773,5132
22587,33299
22587,24789
22587,23438
22587,26098
53882,294769
53882,293379
53882,293065
53882,293358
53882,293356
53882,293144
53882,292571
53882,94789
53882,292095
53882,292108
53882,149622
53882,136949
53882,274835
53882,266618
53882,99523
53882,168262
53882,176130
53882,1861
53882,106842
53882,271754
53882,173012
53882,271739
53882,215950
53882,58119
53882,35628
53882,266626
53882,266692
53882,265673
53882,31604
53882,197374
53882,105579
53882,232366
53882,221021
