from,to
107950,125801
249774,432453
249774,304860
249774,290899
249774,168381
249774,447876
249774,439445
249774,320482
249774,329482
249774,277583
249774,343196
249774,239498
249774,349165
249774,330705
249774,410793
249774,27442
249774,332726
249774,43080
249774,341971
249774,293848
249774,321197
249774,340870
249774,316070
249774,267427
249774,302041
249774,137984
249774,105579
249774,51988
249774,202674
249774,8275
249774,197374
249774,65225
249774,337646
249774,112568
249774,140469
249774,279778
249774,10225
249774,323661
249774,336050
249774,327482
249774,224521
283824,271782
283824,135678
283824,88324
283824,119031
283824,42621
283824,81844
283824,101600
283824,39351
283824,75592
283824,173210
283824,154564
283824,96971
283824,107326
283824,169602
283824,187383
283824,137401
283824,35132
283824,194712
283824,195181
283824,42192
283824,162787
283824,149350
283824,20260
283824,167323
283824,100701
283824,207090
283824,218745
283824,229326
283824,236389
283824,209174
283824,94542
283824,248541
283824,4910
283824,276324
18224,288556
18224,340878
18224,341474
18224,40116
18224,4981
18224,322079
18224,326378
18224,330407
18224,304001
18224,13359
18224,160051
18224,193617
18224,34720
18224,7343
18224,3100
18224,53164
18224,2410
18224,272412
18224,79160
18224,224521
18224,51024
18224,62583
18224,95843
18224,24312
18224,228957
18224,221834
18224,12619
18224,19610
18224,278984
18224,382
18224,108571
18224,19884
18224,259331
18224,6260
18224,295531
18224,277447
18224,292919
18224,5694
18224,279778
18224,213235
332726,432378
332726,323485
332726,275722
332726,40863
332726,4413
332726,318060
332726,293842
332726,311194
332726,230042
332726,287974
332726,6088
332726,137401
332726,96971
332726,5418
332726,220161
332726,283489
332726,188861
332726,177007
332726,42621
332726,203762
332726,191545
332726,152235
332726,175317
332726,235353
332726,209298
332726,28444
332726,338279
332726,207225
332726,90000
332726,211237
332726,151374
332726,233378
332726,53995
332726,158021
332726,13880
332726,239136
332726,193924
332726,208130
332726,22295
332726,284953
199862,15822
199862,266114
199862,272412
199862,273033
199862,167323
199862,263268
199862,107950
199862,14767
199862,251267
199862,263126
199862,258672
199862,79160
199862,242926
199862,41669
199862,118944
199862,111032
199862,101998
199862,258807
199862,247973
199862,255778
199862,27698
199862,483
199862,67457
199862,4020
199862,62240
199862,23054
199862,108437
199862,121032
199862,54380
199862,121243
199862,52437
199862,109753
199862,148279
199862,188008
199862,251084
199862,311
199862,253306
199862,50036
199862,42621
199862,229171
144058,7788
144058,285866
144058,61250
144058,319344
144058,426168
144058,5003
144058,222784
144058,69813
144058,337551
144058,415106
144058,416764
144058,291060
144058,221021
144058,74700
144058,343245
144058,311113
144058,325038
144058,311107
144058,295531
144058,254218
144058,294618
144058,290907
144058,200424
144058,197170
144058,168374
144058,243989
144058,306331
144058,260113
144058,335987
144058,243213
144058,309156
144058,333445
144058,330696
144058,91660
144058,46669
144058,9280
144058,1663
144058,30969
144058,85444
144058,223594
304576,493768
304576,305358
304576,279604
304576,72786
304576,33349
304576,65349
304576,343196
304576,105186
304576,243213
304576,8144
304576,336303
304576,10225
304576,257006
304576,37230
304576,69719
304576,200676
304576,6409
304576,318205
304576,35312
304576,7624
304576,116720
304576,299067
304576,993
304576,280575
304576,244
304576,41994
304576,3300
304576,557
304576,12
304576,2555
304576,31448
304576,6955
304576,2230
304576,46876
304576,63292
304576,5647
304576,124944
304576,88322
304576,52461
304576,145117
48451,81844
48451,37841
48451,99924
48451,723
48451,23041
48451,46222
250186,277949
250186,224477
250186,5694
250186,26419
250186,185372
250186,167323
250186,5885
250186,37189
250186,27311
250186,1566
250186,35312
250186,163138
250186,341
250186,81844
250186,42621
250186,7542
250186,228957
250186,66403
250186,165360
250186,3361
250186,105591
250186,12
112460,485050
112460,193334
112460,278984
112460,410793
112460,140197
112460,5943
112460,117867
112460,426816
112460,66098
112460,245811
112460,427200
112460,77202
112460,8005
112460,234419
112460,314637
112460,207464
112460,297590
112460,257332
112460,19851
112460,424540
112460,41065
112460,269902
112460,415761
112460,330705
112460,177710
112460,418674
112460,417280
112460,323767
112460,143760
112460,325822
112460,415106
112460,324832
112460,321554
112460,37753
112460,351275
112460,346253
112460,274140
112460,269221
112460,342069
112460,341823
243919,144058
243919,211237
243919,57707
243919,7889
243919,59953
243919,93737
243919,104234
243919,35312
243919,3300
243919,226002
243919,81844
243919,17524
3538,143760
3538,163631
3538,191300
3538,304701
3538,312098
3538,459514
3538,35132
3538,440401
3538,17984
3538,433201
3538,197475
3538,1388
3538,432546
3538,166059
3538,35628
3538,427626
3538,408513
3538,65225
3538,996
3538,50159
3538,410793
3538,417241
3538,416399
3538,261312
3538,343196
3538,342070
3538,11121
3538,340063
3538,75731
3538,155175
3538,336060
3538,312162
3538,258807
3538,318722
3538,168374
3538,156553
3538,57784
3538,40436
3538,245811
3538,234419
263126,161399
263126,305733
263126,281810
263126,312170
263126,293047
263126,314333
263126,302988
263126,293602
263126,282760
263126,294599
263126,222784
263126,323647
263126,323485
263126,137907
263126,138189
263126,321197
263126,210610
263126,314573
263126,144763
263126,149311
263126,318951
263126,312567
263126,321037
263126,321242
263126,278207
263126,319455
263126,197321
263126,315412
263126,8507
263126,321719
263126,293475
263126,321559
263126,321555
263126,312248
263126,34796
263126,313793
263126,317129
263126,311079
263126,320054
263126,319313
23768,482369
23768,312098
23768,435700
23768,333383
23768,330280
23768,318205
23768,312071
23768,298980
23768,137572
23768,106119
23768,43991
23768,293729
23768,293065
23768,277661
23768,293358
23768,293356
23768,292123
23768,94789
23768,4020
23768,116950
23768,279604
23768,279645
23768,172416
23768,60746
23768,141406
23768,144047
23768,152143
23768,277467
23768,5418
23768,138345
23768,269574
23768,38716
23768,241816
23768,15340
23768,74700
23768,18857
23768,273061
23768,273218
23768,3203
23768,269847
21597,483380
21597,432453
21597,410704
21597,349165
21597,430586
21597,417252
21597,16316
21597,169190
21597,349515
21597,293501
21597,33349
21597,351275
21597,149291
21597,346253
21597,345970
21597,1160
21597,290345
21597,288556
21597,243213
21597,15011
21597,291826
21597,300850
21597,323767
21597,293175
21597,321555
21597,305184
21597,61779
21597,312071
21597,311237
21597,17562
21597,297343
21597,294194
21597,119511
21597,301769
21597,263126
21597,278
21597,42621
21597,135678
21597,15340
21597,45432
56927,149693
56927,73567
56927,74195
56927,64408
56927,17893
56927,50953
56927,24312
56927,7889
56927,258807
56927,11636
56927,4898
56927,4020
56927,29486
56927,9411
56927,196605
56927,248541
56927,63292
56927,107093
56927,3361
56927,10513
56927,2492
