from,to
61172,9280
9280,144058
144058,222784
222784,433130
433130,195187
195187,170526
170526,330020
330020,170526
170526,255500
255500,169910
169910,305358
305358,193334
193334,20201
20201,177007
177007,456709
456709,59194
32088,52763
40327,37024
37024,50691
50691,12
12,5916
5916,31315
31315,281
281,76959
76959,42029
2938,35354
35354,38652
38652,35354
35354,2938
38652,46579
46579,25039
74347,913
913,117351
117351,32318
32318,91778
91778,86713
86713,6355
6355,5235
5235,596
596,4413
4413,334076
334076,214741
214741,212974
8865,182134
182134,103776
79382,61172
61172,118944
118944,493219
493219,339768
339768,302520
302520,1054
1054,156553
160751,160507
160507,40555
40555,88723
88723,61859
61859,89794
89794,90394
90394,43308
43308,90394
90394,54450
54450,29911
29911,29486
29486,211237
211237,10225
10225,138038
138038,215139
215139,301992
301992,215139
215139,310017
310017,440829
440829,485950
485950,167041
167041,416519
416519,510854
510854,445199
445199,24312
24312,456709
456709,334062
334062,42621
42621,161442
161442,76524
76524,23466
23466,328287
328287,309150
309150,3618
3618,74700
74700,442608
442608,343196
343196,295372
295372,180752
180752,324403
324403,278
278,410793
410793,162191
162191,18919
18919,135819
135819,5102
5102,154652
154652,24608
24608,64514
64514,66316
66316,140389
140389,7640
7640,240571
240571,4131
4131,79387
79387,15198
15198,137401
137401,349093
349093,137401
137401,346253
346253,1054
1054,167041
167041,1054
1054,39769
39769,167552
167552,119485
119485,292687
292687,341769
341769,62583
62583,327085
327085,345313
76204,96971
96971,510525
510525,12
12,423941
423941,12
12,208348
208348,19111
19111,18064
18064,28450
28450,19623
19623,18064
18064,57010
57010,253306
253306,222784
222784,438940
438940,440780
440780,511149
511149,512060
512060,77202
57555,25613
25613,101438
101438,12
52924,46894
46894,64078
64078,68158
68158,178462
178462,6966
6966,178462
178462,4489
4489,155044
155044,4489
4489,29410
18182,88837
88837,264334
264334,239602
239602,17710
17710,439445
22215,96971
96971,474358
474358,261312
105515,109074
109074,142800
142800,225287
225287,242266
242266,190071
136804,120705
120705,86965
154179,52256
52256,167111
167111,21389
21389,3529
3529,4678
4678,209026
209026,104448
104448,199859
199859,324751
324751,331078
331078,278447
278447,277447
277447,330582
330582,149311
149311,291011
291011,279721
279721,91
91,295020
295020,245811
245811,160084
160084,94665
94665,324712
324712,257949
257949,104497
104497,6796
6796,2046
2046,177281
177281,69813
69813,431417
431417,186135
186135,257332
257332,156769
156769,77202
160530,160204
160204,160530
79418,61172
61172,224673
224673,330443
330443,254101
254101,42621
42621,511149
511149,135678
135678,157846
157846,279778
10405,48960
